Wall No.,Wall Type,Uvalue
1b,Brick - No Insulation,
2b,Brick - No Insulation w/R2 Board,
3b,Brick - No Insulation w/R3 Board,
4b,Brick - No Insulation w/R4 Board,
5b,Brick - No Insulation w/R5 Board,
6b,Brick - No Insulation w/R6 Board,
7b,Brick - R11 Insulation,
8b,Brick - R11 Insulation w/R2 Board,
9b,Brick - R11 Insulation w/R3 Board,
10b,Brick - R11 Insulation w/R4 Board,
11b,Brick - R11 Insulation w/R5 Board,
12b,Brick - R11 Insulation w/R6 Board,
13b,Brick - R13 Insulation,
14b,Brick - R13 Insulation w/R2 Board,
15b,Brick - R13 Insulation w/R3 Board,
16b,Brick - R13 Insulation w/R4 Board,
17b,Brick - R13 Insulation w/R5 Board,
18b,Brick - R13 Insulation w/R6 Board,
19b,Brick - R15 Insulation,
20b,Brick - R15 Insulation w/R2 Board,
21b,Brick - R15 Insulation w/R3 Board,
22b,Brick - R15 Insulation w/R4 Board,
23b,Brick - R15 Insulation w/R5 Board,
24b,Brick - R15 Insulation w/R6 Board,
25b,Brick - R19 Insulation,
26b,Brick - R19 Insulation w/R2 Board,
27b,Brick - R19 Insulation w/R3 Board,
28b,Brick - R19 Insulation w/R4 Board,
29b,Brick - R19 Insulation w/R5 Board,
30b,Brick - R19 Insulation w/R6 Board,
31b,Brick - R21 Insulation,
32b,Brick - R21 Insulation w/R2 Board,
33b,Brick - R21 Insulation w/R3 Board,
34b,Brick - R21 Insulation w/R4 Board,
35b,Brick - R21 Insulation w/R5 Board,
36b,Brick - R21 Insulation w/R6 Board,
1s,Siding or Stucco - No Insulation,
2s,Siding or Stucco - No Insulation w/R2 Board,
3s,Siding or Stucco - No Insulation w/R3 Board,
4s,Siding or Stucco - No Insulation w/R4 Board,
5s,Siding or Stucco - No Insulation w/R5 Board,
6s,Siding or Stucco - No Insulation w/R6 Board,
7s,Siding or Stucco - R11 Insulation,
8s,Siding or Stucco - R11 Insulation w/R2 Board,
9s,Siding or Stucco - R11 Insulation w/R3 Board,
10s,Siding or Stucco - R11 Insulation w/R4 Board,
11s,Siding or Stucco - R11 Insulation w/R5 Board,
12s,Siding or Stucco - R11 Insulation w/R6 Board,
13s,Siding or Stucco - R13 Insulation,
14s,Siding or Stucco - R13 Insulation w/R2 Board,
15s,Siding or Stucco - R13 Insulation w/R3 Board,
16s,Siding or Stucco - R13 Insulation w/R4 Board,
17s,Siding or Stucco - R13 Insulation w/R5 Board,
18s,Siding or Stucco - R13 Insulation w/R6 Board,
19s,Siding or Stucco - R15 Insulation,
20s,Siding or Stucco - R15 Insulation w/R2 Board,
21s,Siding or Stucco - R15 Insulation w/R3 Board,
22s,Siding or Stucco - R15 Insulation w/R4 Board,
23s,Siding or Stucco - R15 Insulation w/R5 Board,
24s,Siding or Stucco - R15 Insulation w/R6 Board,
25s,Siding or Stucco - R19 Insulation,
26s,Siding or Stucco - R19 Insulation w/R2 Board,
27s,Siding or Stucco - R19 Insulation w/R3 Board,
28s,Siding or Stucco - R19 Insulation w/R4 Board,
29s,Siding or Stucco - R19 Insulation w/R5 Board,
30s,Siding or Stucco - R19 Insulation w/R6 Board,
31s,Siding or Stucco - R21 Insulation,
32s,Siding or Stucco - R21 Insulation w/R2 Board,
33s,Siding or Stucco - R21 Insulation w/R3 Board,
34s,Siding or Stucco - R21 Insulation w/R4 Board,
35s,Siding or Stucco - R21 Insulation w/R5 Board,
36s,Siding or Stucco - R21 Insulation w/R6 Board,
