Ceiling No.,Ceiling Type,Uvalue
1gw,Single Pane - No Internal Shade,
2gw,Single Pane - Blinds,
3gw,Single Pane - Drapes,
4gw,Double Pane - No Internal Shade,
5gw,Double Pane - Blinds,
6gw,Double Pane - Drapes,
7gw,Low E or Triple Pane - No Internal Shade,
8gw,Low E or Triple Pane - Blinds,
9gw,Low E or Triple Pane - Drapes,
1gm,Single Pane - No Internal Shade,
2gm,Single Pane - Blinds,
3gm,Single Pane - Drapes,
4gm,Double Pane - No Internal Shade,
5gm,Double Pane - Blinds,
6gm,Double Pane - Drapes,
7gm,Low E or Triple Pane - No Internal Shade,
8gm,Low E or Triple Pane - Blinds,
9gm,Low E or Triple Pane - Drapes,
