Ceiling No.,Ceiling Type,Uvalue
1gdw,Single Pane Slider - No Internal Shade,
2gdw,Single Pane Slider - Blinds,
3gdw,Single Pane Slider - Drapes,
4gdw,Single Pane Glass Door,
5gdw,Double Pane Slider - No Internal Shade,
6gdw,Double Pane Slider - Blinds,
7gdw,Double Pane Slider - Drapes,
8gdw,Double Pane Glass Door,
9gdw,Triple Pane Slider - No Internal Shade,
10gdw,Triple Pane Slider - Blinds,
11gdw,Triple Pane Slider - Drapes,
12gdw,Triple Pane Glass Door,
13gdw,Single Pane French Door,
14gdw,Double Pane French Door,
1gdm,Single Pane Slider - No Internal Shade,
2gdm,Single Pane Slider - Blinds,
3gdm,Single Pane Slider - Drapes,
4gdm,Single Pane Glass Door,
5gdm,Double Pane Slider - No Internal Shade,
6gdm,Double Pane Slider - Blinds,
7gdm,Double Pane Slider - Drapes,
8gdm,Double Pane Glass Door,
9gdm,Triple Pane Slider - No Internal Shade,
10gdm,Triple Pane Slider - Blinds,
11gdm,Triple Pane Slider - Drapes,
12gdm,Triple Pane Glass Door,
13gdm,Single Pane French Door,
14gdm,Double Pane French Door,
